order,session,run,n_subjects,mean_isc,std_isc,ci_low,ci_high
order-A,ses-1,run-1,38,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
order-A,ses-1,run-2,33,0.1011348272455852,0.27991396147672815,-0.0004927551473416995,0.20069469041498275
order-B,ses-1,run-1,34,0.12837399582211606,0.2735668917538083,0.031130020236149122,0.2232104950694517
order-B,ses-1,run-2,24,0.24469411222392587,0.36918210782419364,0.08593199140856302,0.39133698016484697
order-B,ses-2,run-1,21,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
order-C,ses-1,run-1,25,0.16643432478650586,0.1750845806689519,0.09468888855933447,0.23645978251855962
order-C,ses-1,run-2,21,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
order-C,ses-2,run-1,25,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
order-D,ses-1,run-1,31,0.14386269844889582,0.2987369395198225,0.0318331282356052,0.2523223226713712
order-D,ses-1,run-2,22,0.2733398118017476,0.3590131223114526,0.11338080363102242,0.4194868413565422
order-E,ses-1,run-1,32,0.21880823784177636,0.28115542395827287,0.11768361353580539,0.3154414395607826
order-E,ses-1,run-2,24,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
order-F,ses-1,run-1,32,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
order-F,ses-1,run-2,20,0.22385610152530297,0.33898064977146547,0.06244941586962622,0.37385171615682555
